,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
0,파킹클라우드,고양 삼송역현대헤리엇아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
1,파킹클라우드,고양 삼송역현대헤리엇아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
2,파킹클라우드,고양 삼송역현대헤리엇아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
3,파킹클라우드,고양 삼송역현대헤리엇아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
4,파킹클라우드,고양 삼송역현대헤리엇아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
5,파킹클라우드,고양 삼송역현대헤리엇아파트,6,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
6,파킹클라우드,고양 삼송역현대헤리엇아파트,7,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
7,파킹클라우드,고양 삼송역현대헤리엇아파트,8,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
19,제주전기자동차서비스,고양대림2차아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
20,제주전기자동차서비스,고양대림2차아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
21,제주전기자동차서비스,고양대림2차아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
22,제주전기자동차서비스,고양대림2차아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
23,제주전기자동차서비스,고양대림2차아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
24,제주전기자동차서비스,고양대림2차아파트,6,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
25,제주전기자동차서비스,고양대림2차아파트,7,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
26,제주전기자동차서비스,고양대림2차아파트,8,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
27,제주전기자동차서비스,고양대림2차아파트,9,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
46,제주전기자동차서비스,밤가시마을건영3단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 270,거주자외 출입제한,산동구 산두로 270
47,제주전기자동차서비스,밤가시마을건영3단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 270,거주자외 출입제한,산동구 산두로 270
48,제주전기자동차서비스,밤가시마을건영5단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 228,거주자외 출입제한,산동구 산두로 228
49,제주전기자동차서비스,밤가시마을건영5단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 228,거주자외 출입제한,산동구 산두로 228
50,제주전기자동차서비스,밤가시마을건영6단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
51,제주전기자동차서비스,밤가시마을건영6단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
52,제주전기자동차서비스,밤가시마을건영6단지,4,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
54,제주전기자동차서비스,숲속마을3단지아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 숲속마을로 65,거주자외 출입제한,산동구 숲속마을로 65
55,제주전기자동차서비스,숲속마을3단지아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 숲속마을로 65,거주자외 출입제한,산동구 숲속마을로 65
57,제주전기자동차서비스,중산12단지현대아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 탄중로 403,거주자외 출입제한,산동구 탄중로 403
58,제주전기자동차서비스,중산12단지현대아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 탄중로 403,거주자외 출입제한,산동구 탄중로 403
65,제주전기자동차서비스,코오롱레이크폴리스1차,1,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
66,제주전기자동차서비스,코오롱레이크폴리스1차,2,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
67,제주전기자동차서비스,코오롱레이크폴리스1차,3,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
68,제주전기자동차서비스,코오롱레이크폴리스1차,4,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
69,제주전기자동차서비스,탄현9단지일신아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
70,제주전기자동차서비스,탄현9단지일신아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
71,제주전기자동차서비스,탄현9단지일신아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
72,제주전기자동차서비스,한류월드 시티프라디움 레이크,1,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
73,제주전기자동차서비스,한류월드 시티프라디움 레이크,2,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
74,제주전기자동차서비스,한류월드 시티프라디움 레이크,3,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
75,제주전기자동차서비스,한류월드 시티프라디움 레이크,4,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
76,제주전기자동차서비스,한류월드 시티프라디움 레이크,5,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
151,한국전력,가좌마을1단지 양우아아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 가좌4로 29지하,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 가좌4로 29지하
152,한국전력,가좌마을7단지꿈에그린한화 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
153,한국전력,가좌마을7단지꿈에그린한화 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
154,한국전력,가좌마을7단지꿈에그린한화 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
155,한국전력,가좌벽산블루밍5단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
156,한국전력,가좌벽산블루밍5단지 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
157,한국전력,가좌벽산블루밍5단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
158,한국전력,가좌벽산블루밍5단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
207,한국전력,고양지사,3,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
