industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"전체","0","2020","~1","YEARS1","남","1",1056070.0
"전체","0","2020","1~3","YEARS2","남","1",1602152.0
"전체","0","2020","3~5","YEARS3","남","1",905539.0
"전체","0","2020","5~10","YEARS4","남","1",1316424.0
"전체","0","2020","10~","YEARS5","남","1",1927274.0
"전체","0","2020","~1","YEARS1","여","2",920145.0
"전체","0","2020","1~3","YEARS2","여","2",1248850.0
"전체","0","2020","3~5","YEARS3","여","2",619367.0
"전체","0","2020","5~10","YEARS4","여","2",788867.0
"전체","0","2020","10~","YEARS5","여","2",677087.0
"농업, 임업 및 어업","A","2020","~1","YEARS1","남","1",3582.0
"농업, 임업 및 어업","A","2020","1~3","YEARS2","남","1",5026.0
"농업, 임업 및 어업","A","2020","3~5","YEARS3","남","1",2526.0
"농업, 임업 및 어업","A","2020","5~10","YEARS4","남","1",3060.0
"농업, 임업 및 어업","A","2020","10~","YEARS5","남","1",7477.0
"농업, 임업 및 어업","A","2020","~1","YEARS1","여","2",1371.0
"농업, 임업 및 어업","A","2020","1~3","YEARS2","여","2",1738.0
"농업, 임업 및 어업","A","2020","3~5","YEARS3","여","2",925.0
"농업, 임업 및 어업","A","2020","5~10","YEARS4","여","2",1167.0
"농업, 임업 및 어업","A","2020","10~","YEARS5","여","2",1596.0
"농업","A01","2020","~1","YEARS1","남","1",2327.0
"농업","A01","2020","1~3","YEARS2","남","1",3461.0
"농업","A01","2020","3~5","YEARS3","남","1",1916.0
"농업","A01","2020","5~10","YEARS4","남","1",2292.0
"농업","A01","2020","10~","YEARS5","남","1",6346.0
"농업","A01","2020","~1","YEARS1","여","2",1194.0
"농업","A01","2020","1~3","YEARS2","여","2",1381.0
"농업","A01","2020","3~5","YEARS3","여","2",727.0
"농업","A01","2020","5~10","YEARS4","여","2",1006.0
"농업","A01","2020","10~","YEARS5","여","2",1333.0
"임업","A02","2020","~1","YEARS1","남","1",243.0
"임업","A02","2020","1~3","YEARS2","남","1",400.0
"임업","A02","2020","3~5","YEARS3","남","1",232.0
"임업","A02","2020","5~10","YEARS4","남","1",520.0
"임업","A02","2020","10~","YEARS5","남","1",719.0
"임업","A02","2020","~1","YEARS1","여","2",139.0
"임업","A02","2020","1~3","YEARS2","여","2",226.0
"임업","A02","2020","3~5","YEARS3","여","2",144.0
"임업","A02","2020","5~10","YEARS4","여","2",119.0
"임업","A02","2020","10~","YEARS5","여","2",216.0
"어업","A03","2020","~1","YEARS1","남","1",1012.0
"어업","A03","2020","1~3","YEARS2","남","1",1165.0
"어업","A03","2020","3~5","YEARS3","남","1",378.0
"어업","A03","2020","5~10","YEARS4","남","1",248.0
"어업","A03","2020","10~","YEARS5","남","1",412.0
"어업","A03","2020","~1","YEARS1","여","2",38.0
"어업","A03","2020","1~3","YEARS2","여","2",132.0
"어업","A03","2020","3~5","YEARS3","여","2",55.0
"어업","A03","2020","5~10","YEARS4","여","2",42.0
"어업","A03","2020","10~","YEARS5","여","2",47.0
"광업","B","2020","~1","YEARS1","남","1",1550.0
"광업","B","2020","1~3","YEARS2","남","1",2017.0
"광업","B","2020","3~5","YEARS3","남","1",1468.0
"광업","B","2020","5~10","YEARS4","남","1",2231.0
"광업","B","2020","10~","YEARS5","남","1",3154.0
"광업","B","2020","~1","YEARS1","여","2",154.0
"광업","B","2020","1~3","YEARS2","여","2",256.0
"광업","B","2020","3~5","YEARS3","여","2",131.0
"광업","B","2020","5~10","YEARS4","여","2",240.0
"광업","B","2020","10~","YEARS5","여","2",250.0
"석탄, 원유 및 천연가스 광업","B05","2020","~1","YEARS1","남","1",102.0
"석탄, 원유 및 천연가스 광업","B05","2020","1~3","YEARS2","남","1",145.0
"석탄, 원유 및 천연가스 광업","B05","2020","3~5","YEARS3","남","1",145.0
"석탄, 원유 및 천연가스 광업","B05","2020","5~10","YEARS4","남","1",273.0
"석탄, 원유 및 천연가스 광업","B05","2020","10~","YEARS5","남","1",1144.0
"석탄, 원유 및 천연가스 광업","B05","2020","~1","YEARS1","여","2",23.0
"석탄, 원유 및 천연가스 광업","B05","2020","1~3","YEARS2","여","2",23.0
"석탄, 원유 및 천연가스 광업","B05","2020","3~5","YEARS3","여","2",6.0
"석탄, 원유 및 천연가스 광업","B05","2020","5~10","YEARS4","여","2",23.0
"석탄, 원유 및 천연가스 광업","B05","2020","10~","YEARS5","여","2",41.0
"금속 광업","B06","2020","~1","YEARS1","남","1",39.0
"금속 광업","B06","2020","1~3","YEARS2","남","1",47.0
"금속 광업","B06","2020","3~5","YEARS3","남","1",68.0
"금속 광업","B06","2020","5~10","YEARS4","남","1",90.0
"금속 광업","B06","2020","10~","YEARS5","남","1",92.0
