지역,시설원예,축산,노지작물,합계,위도,경도
강원도,22,4,25,51,37.8603672,128.3115261
경기도,31,104,55,190,37.4363177,127.550802
경상남도,67,36,0,103,35.4414209,128.2417453
경상북도,62,39,11,112,36.6308397,128.962578
광주광역시,5,0,0,5,35.160032,126.851338
대전광역시,1,1,0,2,36.3504396,127.3849508
부산광역시,3,0,0,3,35.179816,129.0750223
세종특별자치시,18,2,0,20,36.4803512,127.2894325
울산광역시,0,3,0,3,35.5394773,129.3112994
전라남도,110,42,103,255,34.9007274,126.9571667
전라북도,76,27,23,126,35.6910153,127.2368291
제주특별자치도,0,13,10,23,33.4273366,126.5758344
충청남도,52,21,0,73,36.6173379,126.8453965
충청북도,11,53,43,107,36.7853718,127.6551404
합계,458,345,270,1073,,
