"읍면동별(1)",2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"읍면동별(1)",농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a),농가수 (가구),재배면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a)
"합계",1870,925.2,30511.3,3297.9,1881,974.8,29292.5,3005.0,1929,1015.8,30628.2,3015.2,1941,1022.9,30628.1,2994.2,1919,996.1,27252.6,2735.9,1918,998.3,27434.7,2748.1,1911,1027.7,28534.0,2776.5,1898,1020.9,29662.1,2905.5
"강경읍",5,5.0,125.0,2500.0,6,6.0,210.0,3500.0,6,6.0,210.0,3500.0,6,6.0,210.0,3500.0,5,6.0,210.0,3500.0,5,6.0,210.0,3500.0,1,2.0,70.0,3500.0,-,-,-,-
"연무읍",299,212.2,6984.0,3291.2,324,225.0,7019.0,3119.6,348,250.0,7430.0,2972.0,350,251.0,7153.5,2850.0,325,220.0,6113.6,2778.9,320,220.0,6113.6,2778.9,320,220.0,6113.0,2778.6,320,220.0,6113.6,2778.9
"성동면",88,46.0,1267.0,2754.3,91,49.0,1006.1,2053.3,92,50.0,1450.0,2900.0,92,50.0,1450.0,2900.0,93,50.0,1000.0,2000.0,89,40.0,800.0,2000.0,82,50.0,1000.0,2000.0,82,50.0,1000.0,2000.0
"광석면",199,80.0,2650.0,3312.5,205,84.0,2804.9,3339.2,215,88.0,2915.0,3312.5,215,90.0,2979.4,3310.4,217,94.0,3136.6,3336.8,217,94.0,3136.6,3336.8,205,101.0,3370.2,3336.8,205,101.0,3370.2,3336.8
"노성면",155,52.0,1787.0,3436.5,161,58.0,1831.4,3157.6,161,58.0,1751.0,3019.0,165,60.0,1812.0,3020.0,162,51.0,1451.5,2846.1,166,61.0,1736.1,2846.1,166,61.0,1736.1,2846.1,167,61.0,1736.1,2846.1
"상월면",175,78.3,2263.8,2892.7,175,75.4,2469.4,3275.1,176,75.5,2263.8,2998.4,177,78.5,2350.3,2994.0,177,78.5,2568.9,3272.5,181,79.7,2608.2,3272.5,181,79.7,2608.2,3272.5,170,75.0,2499.8,3333.1
"부적면",124,70.0,3300.0,4714.3,122,63.0,1991.0,3160.3,129,65.0,2055.0,3161.5,129,67.0,2079.7,3104.0,129,67.0,2090.0,3119.4,129,67.0,2090.0,3119.4,129,67.0,2090.0,3119.4,129,67.0,2090.0,3119.4
"연산면",70,38.0,1300.0,3421.1,70,38.0,1205.0,3171.1,70,38.0,1205.0,3171.1,75,39.0,1269.1,3254.1,80,46.0,15.4,33.5,80,46.0,15.4,33.5,80,46.0,15.4,33.5,78,45.9,1540.0,3355.1
"벌곡면",19,5.6,169.0,3017.0,25,7.4,237.9,3214.9,27,11.5,314.0,2730.4,27,11.6,316.8,2731.0,27,11.6,314.4,2710.3,27,11.6,314.4,2710.3,27,11.6,314.4,2710.3,27,11.6,314.4,2710.3
"양촌면",318,155.0,4270.0,2754.8,319,155.3,4275.0,2752.7,319,155.3,4275.4,2753.0,326,155.3,4277.0,2754.0,326,155.3,4278.0,2754.7,326,155.3,4278.0,2754.7,326,155.3,4278.0,2754.7,326,155.3,4278.0,2754.7
"가야곡면",138,48.8,1507.0,3088.1,107,42.6,562.7,1320.9,118,45.0,1394.0,3097.8,125,54.0,1543.3,2858.0,125,54.0,1836.0,3400.0,125,54.0,1836.0,3400.0,125,54.0,1836.0,3400.0,125,54.0,1817.6,3365.9
"은진면",163,72.0,1944.0,2700.0,153,73.3,2005.7,2736.3,140,75.0,2017.0,2689.3,118,61.0,1657.4,2717.0,118,63.0,1711.8,2717.1,119,65.0,1766.1,2717.1,135,81.4,2211.7,2717.1,135,81.4,2211.7,2717.1
"채운면",54,19.0,523.5,2755.3,59,33.5,1214.4,3625.1,59,33.5,1380.0,4119.4,59,33.5,1380.0,4119.4,55,33.0,176.2,533.9,55,33.0,176.2,534.1,55,33.0,357.0,1081.8,55,33.0,357.0,1081.8
"취암동",52,39.0,2301.0,5900.0,53,60.0,2340.0,3900.0,57,60.0,1818.0,3030.0,65,61.0,1999.6,3278.0,68,61.7,2200.2,3566.0,68,61.7,2200.2,3566.0,68,61.7,2380.2,3857.7,68,61.7,2180.0,3533.2
"부창동",11,4.3,120.0,2790.7,11,4.3,120.0,2790.7,12,5.0,150.0,3000.0,12,5.0,150.0,3000.0,12,5.0,150.0,3000.0,11,4.0,153.8,3845.0,11,4.0,153.8,3845.0,11,4.0,153.7,3842.5
