"시도별",2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도별",딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),딸기:면적 (ha),생산량 (톤),노지딸기:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설딸기:면적 (ha),10a당 생산량 (kg),토마토:면적 (ha),생산량 (톤),노지토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설토마토:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",5816,171519,135,1686,2276,5681,2979,5850,368224,0,0,0,5850,6294,368224,6435,192140,145,2167,3142,6290,3005,6344,432779,0,0,0,6344,6822,432779,6890,216803,101,2203,2225,6789,3161,6054,388624,0,0,0,6054,6419,388624,6875,209901,50,2014,1007,6825,3061,7070,499960,0,0,0,7070,7072,499960,6403,194513,97,1791,1737,6306,3057,6976,456982,0,0,0,6976,6551,456982,5978,191218,134,1899,2545,5844,3228,6391,390303,0,0,0,6391,6107,390303,5907,208699,124,1995,2473,5783,3566,5782,355107,0,0,0,5782,6142,355107,6062,183639,93,1885,1745,5969,3047,6058,388657,0,0,0,6058,6415,388657,6462,234225,41,2283,934,6421,3633,5706,358580,0,0,0,5706,6284,358580,5683,163646,49,2280,1126,5634,2885,5521,344048,0,0,0,5521,6231,344048
"서울특별시",0,0,0,0,0,0,0,4,138,0,0,0,4,3461,138,0,0,0,0,0,0,0,4,274,0,0,0,4,6850,274,0,0,0,0,0,0,0,2,137,0,0,0,2,6850,137,0,0,0,0,0,0,0,1,69,0,0,0,1,6850,69,0,0,0,0,0,0,0,6,411,0,0,0,6,6850,411,0,0,0,0,0,0,0,4,150,0,0,0,4,3758,150,0,2,0,2119,2,0,0,2,34,0,0,0,2,1433,34,0,0,0,0,0,0,0,4,18,0,0,0,4,450,18,0,0,0,0,0,0,0,4,18,0,0,0,4,450,18,0,0,0,2066,0,0,0,4,16,0,0,0,4,450,16
"부산광역시",0,0,0,0,0,0,0,314,20737,0,0,0,314,6604,20737,4,132,0,0,0,4,3299,305,19889,0,0,0,305,6521,19889,0,0,0,0,0,0,0,355,22056,0,0,0,355,6213,22056,0,0,0,0,0,0,0,423,29944,0,0,0,423,7079,29944,0,0,0,0,0,0,0,410,29409,0,0,0,410,7173,29409,0,0,0,0,0,0,0,408,24558,0,0,0,408,6019,24558,0,1,0,2980,1,0,0,316,19196,0,0,0,316,6081,19196,0,8,0,3240,8,0,0,363,25248,0,0,0,363,6952,25248,0,5,0,3684,5,0,0,301,18717,0,0,0,301,6226,18717,1,42,0,3670,18,1,2759,410,24863,0,0,0,410,6058,24863
"대구광역시",0,0,0,0,0,0,0,68,6021,0,0,0,68,8854,6021,0,0,0,0,0,0,0,95,7969,0,0,0,95,8388,7969,0,0,0,0,0,0,0,98,7933,0,0,0,98,8095,7933,0,0,0,0,0,0,0,71,1976,0,0,0,71,2783,1976,3,110,0,0,0,3,3677,78,2129,0,0,0,78,2730,2129,5,177,1,3376,34,4,3584,203,13514,0,0,0,203,6657,13514,1,40,0,2980,3,1,3188,197,10201,0,0,0,197,5174,10201,0,0,0,0,0,0,0,167,11372,0,0,0,167,6800,11372,2,62,0,0,0,2,3403,186,10552,0,0,0,186,5682,10552,0,0,0,0,0,0,0,150,8429,0,0,0,150,5608,8429
"인천광역시",11,254,11,2308,254,0,0,62,3218,0,0,0,62,5191,3218,9,105,9,1166,105,0,0,75,5133,0,0,0,75,6844,5133,19,239,17,1160,197,2,2095,111,5130,0,0,0,111,4622,5130,1,24,0,0,0,1,2428,120,4924,0,0,0,120,4103,4924,1,24,0,0,0,1,2428,131,8202,0,0,0,131,6261,8202,26,659,0,0,0,26,2533,62,3979,0,0,0,62,6418,3979,48,1253,1,2119,21,47,2600,55,3887,0,0,0,55,7023,3887,31,792,1,2100,12,31,2527,54,3491,0,0,0,54,6515,3491,24,601,5,2066,97,19,2602,79,5548,0,0,0,79,7021,5548,26,659,2,2066,42,24,2601,74,5236,0,0,0,74,7033,5236
"광주광역시",47,1213,1,2450,25,46,2583,170,10180,0,0,0,170,5988,10180,46,1256,0,0,0,46,2731,241,13004,0,0,0,241,5396,13004,147,4312,0,0,0,147,2933,260,5613,0,0,0,260,2159,5613,114,3387,0,0,0,114,2971,216,10964,0,0,0,216,5076,10964,80,2377,0,0,0,80,2971,282,14751,0,0,0,282,5231,14751,29,1262,0,0,0,29,4350,136,10382,0,0,0,136,7634,10382,67,2901,0,2867,6,67,4338,127,9751,0,0,0,127,7679,9751,49,1809,0,0,0,49,3720,123,11753,0,0,0,123,9538,11753,72,2662,0,3343,2,72,3679,95,7722,0,0,0,95,8130,7722,64,2180,0,1803,0,64,3392,90,6629,0,0,0,90,7329,6629
"대전광역시",0,0,0,0,0,0,0,20,964,0,0,0,20,4820,964,0,0,0,0,0,0,0,12,570,0,0,0,12,4747,570,0,0,0,0,0,0,0,65,3260,0,0,0,65,5016,3260,30,544,0,0,0,30,1813,34,1811,0,0,0,34,5325,1811,10,181,0,0,0,10,1813,10,476,0,0,0,10,4761,476,0,0,0,0,0,0,0,45,2066,0,0,0,45,4592,2066,4,63,0,2185,2,4,1403,27,1304,0,0,0,27,4770,1304,0,0,0,0,0,0,0,21,880,0,0,0,21,4207,880,0,5,0,6951,3,0,1404,36,1692,0,0,0,36,4711,1692,0,0,0,0,0,0,0,30,1397,0,0,0,30,4706,1397
"울산광역시",0,0,0,0,0,0,0,53,3273,0,0,0,53,6175,3273,0,0,0,0,0,0,0,47,4367,0,0,0,47,9291,4367,0,0,0,0,0,0,0,29,1601,0,0,0,29,5520,1601,0,0,0,0,0,0,0,39,1571,0,0,0,39,4029,1571,0,0,0,0,0,0,0,51,2094,0,0,0,51,4105,2094,13,271,0,0,0,13,2082,12,498,0,0,0,12,4154,498,15,324,0,2980,10,15,2097,11,622,0,0,0,11,5623,622,16,393,1,3240,41,15,2371,2,117,0,0,0,2,5150,117,18,410,1,3684,29,17,2238,5,356,0,0,0,5,6470,356,22,471,2,3670,56,20,2074,2,106,0,0,0,2,6606,106
