초장,엽장,엽폭,엽병장,엽수,관부직경,꽃수,착과수
38,8,7,22,8,21,1,11
25,8,6,17,9,18,1,6
38,7,5,13,9,22,0,6
33.1,8.7,6.9,18.9,10.5,23.4,0.4,6.1
32.4,10.4,7.4,17,11.6,26,0.8,5.4
22,9,6,13,11,18,0,7
31.5,9.5,9,22,8.5,19.5,1,8.5
33.3,7.4,5.8,11.9,10.1,22.8,0.8,7.2
32.9,11.6,8.8,19,11.4,22.6,0.7,7
29,8.5,7,16.5,11.5,21,2,7
34,7,5.5,10,11,26,2,4.5
42,7,5,10,10,28,1,5
26,9,6,17,11,19,1,10
24,9,6,15,13,18,2,5
33,11,8,22,12,19,1,7
35.3,6,4.7,9,8,19,0.3,3
36,6,5,7,8,18,1,2
29,7,6,12,9,21,1,5
31,12,8,21,16,18,1,5
41,7,6,12,15,29,1,5
34,10,8,18,18,31,2,7
29,8,7,21,18,20,3,6
27,10,7,13,19,26,1,11
21,7,5.5,11.5,17.5,22.5,1,6
34,8,6,19,21,28,1,3
32,11,7,19,18,19,1,3
23,8,5,13,18,20,0,7
36,10,9,26,23,20,1,8
32,7,5,19,20,21,2,11
24,8,6,11,18,20,2,7
36,8,6,22,23,21,0,14
18,7,6,8,21,16,7,8
41,11,9,31,26,21,3,7
48,11,10,36,10,21,1,2
22,8,5,12,20,25,1,4
