시설ID,시도,시군구,품목명,품종,재배면적,시설유형,재배형태,단동/연동 구분,수집일,외부온도,외부습도,외부 일사량,외부풍향,외부풍속,외부강우,강우감지,내부온도,내부습도,내부CO2,내부 일사량,토양EC,토양PH,지온,지습,(양액)총배액,(양액)총급액,(양액)배액PH,(양액)공급PH,(양액)배액EC,(양액)공급EC,(양액)지온,(양액)지습,배기팬작동여부,CO2발생장치작동여부,보광등작동여부,난방기작동상태,난방기작동여부,유동팬작동상태,유동팬작동여부,보온커튼작동상태,보온커튼작동여부,차광커튼작동상태,차광커튼작동여부,우측삼중측창 작동여부,좌측삼중측창 작동여부,우측이중측창 작동여부,좌측이중측창 작동여부,우측일중측창 개도,우측일중측창 온도폭,우측일중측창 설정온도,우측일중측창 작동여부,우측일중측창 작동상태,좌측일중측창 개도,좌측일중측창 온도폭,좌측일중측창 설정온도,좌측일중측창 작동여부,좌측일중측창 작동상태,측창,우측이중천창 작동여부,좌측이중천창 작동여부,우측일중천창 개도,우측일중천창 온도폭,우측일중천창 설정온도,우측일중천창 작동여부,우측일중천창 작동상태,좌측일중천창 개도,좌측일중천창 온도폭,좌측일중천창 설정온도,좌측일중천창 작동여부,좌측일중천창 작동상태,천창,조사일,주차,초장,엽장,엽폭,엽병장,엽수,관부직경,화방 꽃수(소화수),착과수,최종화방차수
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 09:00:00,22,,303,,,,0,29,96,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 10:00:00,24,,528,,,,0,36,96,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 11:00:00,24,,280,,,,0,35,100,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 12:00:00,25,,432,,,,0,34,99,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 13:00:00,27,,599,,,,0,40,99,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 14:00:00,27,,515,,,,0,35,100,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 15:00:00,28,,455,,,,0,32,99,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 16:00:00,27,,228,,,,0,30,100,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 17:00:00,25,,65,,,,0,27,100,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,
PF_0002297_01,전라남도,장성군,딸기,설향,"8,264",비닐,수경,단동,2020-09-10 18:00:00,23,,21,,,,0,26,100,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,81,,,,,,,,,,,
