,확진자,확진률,등록일시분초,치명률,사망자,사망률,"성별,연령별"
0,2426754,11,2022-08-12 08:50:49.948,0.00%,27,0,0-9
1,2736954,13,2022-08-12 08:50:49.948,0.00%,14,0,10-19
2,3164810,15,2022-08-12 08:50:49.948,0.00%,65,0,20-29
3,3116566,15,2022-08-12 08:50:49.948,0.00%,120,0,30-39
4,3249300,15,2022-08-12 08:50:49.948,0.01%,347,1,40-49
5,2643657,13,2022-08-12 08:50:49.947,0.04%,1062,4,50-59
6,2140537,10,2022-08-12 08:50:49.947,0.14%,3005,12,60-69
7,1023789,5,2022-08-12 08:50:49.947,0.57%,5869,23,70-79
8,609473,3,2022-08-12 08:50:49.947,2.46%,14990,59,80 이상
9,11208758,53,2022-08-12 08:50:49.946,0.12%,13076,51,여성
10,9903082,47,2022-08-12 08:50:49.946,0.13%,12423,49,남성
11,2416422,12,2022-08-11 09:13:09.583,0,27,0,0-9
12,2724110,13,2022-08-11 09:13:09.583,0,14,0,10-19
13,3143857,15,2022-08-11 09:13:09.582,0,65,0,20-29
14,3098306,15,2022-08-11 09:13:09.582,0,118,0,30-39
15,3230840,15,2022-08-11 09:13:09.582,0,346,1,40-49
16,2624780,13,2022-08-11 09:13:09.582,0,1060,4,50-59
17,2124703,10,2022-08-11 09:13:09.582,0,3002,12,60-69
18,1015272,5,2022-08-11 09:13:09.581,1,5854,23,70-79
19,604879,3,2022-08-11 09:13:09.581,2,14955,59,80 이상
20,11139116,53,2022-08-11 09:13:09.581,0,13042,51,여성
21,9844053,47,2022-08-11 09:13:09.581,0,12399,49,남성
22,2405668,12,2022-08-10 09:27:21.182,0,27,0,0-9
23,2710299,13,2022-08-10 09:27:21.182,0,14,0,10-19
24,3119496,15,2022-08-10 09:27:21.182,0,63,0,20-29
25,3078225,15,2022-08-10 09:27:21.182,0,118,0,30-39
26,3211236,15,2022-08-10 09:27:21.181,0,346,1,40-49
27,2605121,12,2022-08-10 09:27:21.181,0,1056,4,50-59
28,2108674,10,2022-08-10 09:27:21.181,0,2993,12,60-69
29,1006831,5,2022-08-10 09:27:21.18,1,5843,23,70-79
30,600423,3,2022-08-10 09:27:21.18,2,14922,59,80 이상
31,11064381,53,2022-08-10 09:27:21.18,0,13018,51,여성
